ppcnt: 44, rega0: 41998745, event: 54
ppcnt: 45, rega0: 41998746, event: 54
ppcnt: 46, rega0: 41998745, event: 54
ppcnt: 47, rega0: 41998746, event: 54
ppcnt: 48, rega0: 41998745, event: 54
ppcnt: 49, rega0: 41998746, event: 54
ppcnt: 50, rega0: 41998744, event: 54
ppcnt: 51, rega0: 41998745, event: 54
ppcnt: 52, rega0: 41998745, event: 55
ppcnt: 53, rega0: 41998745, event: 54
ppcnt: 54, rega0: 41998744, event: 54
ppcnt: 55, rega0: 41998746, event: 56
ppcnt: 56, rega0: 41998745, event: 54
ppcnt: 57, rega0: 41998745, event: 54
ppcnt: 58, rega0: 41998746, event: 54
ppcnt: 59, rega0: 41998745, event: 54
ppcnt: 60, rega0: 41998745, event: 54
ppcnt: 61, rega0: 41998745, event: 54
